feature_ID	feature_description	stability	quartile
66	The Past Tense	52.4	very stable
67	The Future Tense	26.9	unstable
68	The Perfect	22.6	unstable
69	Position of Tense-Aspect Affixes	47.3	stable
70	The Morphological Imperative	26.1	unstable
71	The Prohibitive	24.2	unstable
72	Imperative-Hortative Systems	18.8	very unstable
73	The Optative	56.7	very stable
74	Situational Possibility	30.3	unstable
75	Epistemic Possibility	28.5	unstable
76	Overlap between Situational and Epistemic Modal Marking	7.9	very unstable
77	Semantic Distinctions of Evidentiality	28.7	unstable
78	Coding of Evidentiality	21.4	very unstable
79	Suppletion According to Tense and Aspect	52.4	very stable
80	Verbal Number and Suppletion	40.8	stable
81	Order of Subject, Object and Verb	53.3	very stable
82	Order of Subject and Verb	35.7	stable
83	Order of Object and Verb	66.8	very stable
84	Order of Object, Oblique, and Verb	55.1	very stable
85	Order of Adposition and Noun Phrase	70.8	very stable
86	Order of Genitive and Noun	65.3	very stable
87	Order of Adjective and Noun	50.6	very stable
88	Order of Demonstrative and Noun	42.4	stable
89	Order of Numeral and Noun	54.9	very stable
90	Order of Relative Clause and Noun	54.5	very stable
91	Order of Degree Word and Adjective	32.7	unstable
92	Position of Polar Question Particles	24.3	unstable
93	Position of Interrogative Phrases in Content Questions	42.3	stable
94	Order of Adverbial Subordinator and Clause	44.5	stable
98	Alignment of Case Marking of Full Noun Phrases	46.7	stable
99	Alignment of Case Marking of Pronouns	51.1	very stable
100	Alignment of Verbal Person Marking	34.1	stable
101	Expression of Pronominal Subjects	29.6	unstable
102	Verbal Person Marking	19.3	very unstable
103	Third Person Zero of Verbal Person Marking	25.3	unstable
104	Order of Person Markers on the Verb	37.2	stable
105	Ditransitive Constructions: The Verb 'Give'	19.5	very unstable
106	Reciprocal Constructions	21.5	very unstable
107	Passive Constructions	28.3	unstable
108	Antipassive Constructions	21.8	very unstable
109	Applicative Constructions	36	stable
110	Periphrastic Causative Constructions	15.3	very unstable
111	Nonperiphrastic Causative Constructions	47.8	stable
112	Negative Morphemes	27.1	unstable
113	Symmetric and Asymmetric Standard Negation	24.1	unstable
114	Subtypes of Asymmetric Standard Negation	31	unstable
115	Negative Indefinite Pronouns and Predicate Negation	6.9	very unstable
116	Polar Questions	24.3	unstable
117	Predicative Possession	34.9	stable
118	Predicative Adjectives	74.3	very stable
119	Nominal and Locational Predication	70.9	very stable
120	Zero Copula for Predicate Nominals	28.4	unstable
121	Comparative Constructions	56	very stable
122	Relativization on Subjects	44.3	stable
123	Relativization on Obliques	37.8	stable
124	'Want' Complement Subjects	28.4	unstable
125	Purpose Clauses	48.3	stable
126	'When' Clauses	31.2	unstable
127	Reason Clauses	45.9	stable
128	Utterance Complement Clauses	7.3	very unstable
129	Hand and Arm	41.4	stable
130	Finger and Hand	32.7	unstable
131	Numeral Bases	23.5	unstable
132	Number of Non-Derived Basic Colour Categories	16	very unstable
133	Number of Basic Colour Categories	9.2	very unstable
134	Green and Blue	30.4	unstable
135	Red and Yellow	-6.7	very unstable
136	M-T Pronouns	19.9	very unstable
137	N-M Pronouns	53.9	very stable
